gene ;151f_1_10;126f_10_10;96f_11_10;175f_17_10;79f_1_40;100f_10_40;99f_11_40;163f_17_40
Contig2425;0;0;7;0;1;3;8;3
Contig2426;1;0;3;2;2;0;4;2
Contig2427;0;0;2;0;0;0;0;0
Contig243;1;0;0;0;0;0;2;0
Contig2430;0;0;2;0;0;0;0;0
Contig2432;0;0;1;0;1;0;0;1
Contig2433;0;0;1;1;0;0;0;0
Contig2434;3;0;4;1;1;1;1;0
Contig2435;0;0;1;3;1;0;0;0
Contig2436;0;0;1;3;2;0;2;0
Contig2437;0;0;2;0;0;1;0;0
Contig2439;0;0;2;0;0;0;0;0
Contig244;1;2;0;0;0;0;0;0
Contig2440;0;0;2;1;0;0;0;0
Contig2441;0;0;2;1;0;0;0;0
Contig2442;1;0;2;0;0;0;0;0
Contig2443;0;0;1;0;1;0;0;2
Contig2444;0;0;2;0;0;0;0;0
Contig2445;0;0;2;0;0;0;0;0
Contig2446;0;0;1;0;0;0;2;0
Contig2448;0;0;2;0;0;0;0;0
Contig2449;0;0;1;0;0;0;1;0
Contig245;2;0;1;2;1;1;1;3
Contig2451;0;0;3;0;0;0;0;0
Contig2452;0;1;3;0;0;5;0;0
Contig2454;0;0;2;0;0;1;0;0
Contig2455;1;0;1;0;0;0;0;0
Contig2456;5;5;16;6;1;2;9;10
Contig2457;0;0;1;0;0;1;0;0
Contig2458;0;0;3;0;1;0;0;0
Contig2459;1;1;1;0;1;0;0;0
Contig2460;0;0;2;0;0;0;0;1
Contig2462;0;0;1;0;0;1;0;0
Contig2463;0;0;1;0;0;1;0;0
Contig2464;2;3;22;1;4;4;7;0
Contig2466;0;3;51;0;1;0;0;0
Contig2467;0;0;2;0;0;0;0;0
Contig2469;0;0;1;0;0;1;1;0
Contig247;2;0;4;0;0;0;2;1
Contig2470;0;0;2;0;0;0;0;2
Contig2471;0;0;1;0;0;5;0;0
Contig2472;0;0;3;0;0;0;0;0
Contig2473;0;0;2;0;1;0;0;0
Contig2476;0;0;2;0;0;0;0;0
Contig2478;0;0;1;0;0;1;0;0
Contig2479;0;1;2;0;0;0;0;0
Contig248;1;0;1;0;0;0;0;0
Contig2483;0;0;3;0;0;0;0;1
Contig2484;0;0;2;0;0;0;0;0
Contig2486;1;2;3;2;4;4;0;4
Contig2488;0;0;2;0;0;0;0;0
Contig2490;0;0;1;1;0;0;0;1
Contig2493;0;0;3;0;0;0;0;0
Contig2495;0;0;3;0;0;0;1;0
Contig2496;0;0;1;0;0;0;1;0
Contig2497;0;0;1;0;0;1;0;1
Contig2498;0;2;13;0;0;0;0;0
Contig2499;0;0;1;0;0;0;1;0
Contig25;33;0;0;0;0;0;1;0
Contig2502;0;0;2;0;0;0;0;0
Contig2503;0;10;5;0;1;0;0;2
Contig2505;0;0;1;0;0;1;0;0
Contig2507;0;0;3;2;1;0;8;2
Contig2508;0;0;2;0;0;0;0;0
Contig2509;0;0;3;0;0;0;0;0
Contig2510;0;0;2;0;0;0;0;1
Contig2511;0;0;2;0;0;0;0;0
Contig2513;0;0;2;0;0;0;0;0
Contig2515;0;0;1;0;1;0;0;0
Contig2517;2;0;1;3;2;1;2;2
Contig2518;0;0;2;1;3;0;3;3
Contig2519;0;0;2;0;0;0;0;0
Contig2522;0;0;2;0;0;0;0;0
Contig2523;0;0;1;0;0;0;1;0
Contig2525;0;0;1;0;0;0;1;0
Contig2528;0;0;2;0;0;0;0;0
Contig2529;0;0;2;0;0;0;0;0
Contig253;1;0;0;1;0;0;0;0
Contig2530;0;0;1;0;0;1;0;0
Contig2532;0;0;1;0;0;0;22;4
Contig2534;0;0;2;0;0;0;0;0
Contig2535;0;0;1;0;0;0;3;0
Contig2537;0;0;2;0;0;0;0;0
Contig254;1;0;0;0;0;0;1;0
Contig2541;0;1;1;0;0;0;0;0
Contig2544;0;0;1;2;0;0;1;0
Contig2545;0;0;2;1;1;0;0;0
Contig2547;0;0;2;2;2;0;0;2
Contig2548;0;0;2;0;0;0;0;0
Contig255;1;0;0;0;0;0;1;1
Contig2550;0;0;8;1;1;0;0;0
Contig2551;0;0;1;0;1;0;0;0
Contig2552;0;0;2;0;0;1;0;0
Contig2553;0;0;1;0;0;0;0;2
Contig2554;0;0;2;0;0;0;0;0
Contig2556;0;0;1;0;0;0;1;0
Contig2557;0;0;2;0;0;0;0;0
Contig2558;0;0;1;0;0;1;0;0
Contig2561;0;0;3;0;0;0;0;0
Contig2562;0;1;1;0;0;0;2;1
Contig2563;0;0;1;0;0;0;1;0
Contig2564;0;2;2;2;2;0;0;2
Contig2567;0;0;2;0;0;0;0;9
Contig2568;0;0;3;0;0;1;0;2
Contig2569;0;0;1;0;1;0;0;0
Contig257;1;0;0;0;0;0;0;1
Contig2570;0;0;1;0;0;1;0;0
Contig2571;0;0;1;0;0;0;0;1
Contig2572;0;0;1;0;0;1;0;0
Contig2573;0;0;10;0;0;0;0;0
Contig2574;0;0;3;0;0;0;0;0
Contig2575;0;1;1;1;1;0;0;0
Contig2576;0;0;2;1;1;1;6;2
Contig2578;0;0;2;0;0;0;0;0
Contig2579;0;0;1;1;0;0;0;0
Contig258;2;0;0;0;0;0;0;0
Contig2581;0;0;1;1;1;0;0;0
Contig2582;0;0;11;0;0;0;0;0
Contig2583;0;0;1;0;1;1;0;0
Contig2585;0;0;1;0;0;0;0;1
Contig2586;0;0;1;0;0;0;0;1
Contig2587;0;0;2;0;0;0;0;0
Contig2588;0;0;1;1;0;0;0;0
Contig259;3;0;0;4;4;5;0;0
Contig2590;0;0;2;0;0;0;0;0
Contig2591;0;0;2;0;0;0;0;0
Contig2592;1;0;1;1;0;0;0;0
Contig2593;0;0;1;1;0;0;0;0
Contig2594;0;0;2;0;0;0;0;0
Contig2595;0;0;2;0;0;0;0;0
Contig2596;18;1;18;6;0;0;10;8
Contig2599;0;0;1;0;0;0;0;1
Contig26;2;0;0;0;0;0;0;0
Contig2600;4;11;7;11;7;7;35;13
Contig2603;0;0;2;0;0;0;0;0
Contig2604;0;1;4;4;2;0;0;0
Contig2605;0;0;3;0;0;0;0;0
Contig2607;0;0;3;0;0;0;0;4
Contig2608;0;0;2;0;0;0;0;0
Contig261;2;0;0;0;0;0;0;0
Contig2611;0;0;2;0;0;0;0;0
Contig2612;0;0;1;0;1;0;0;0
Contig2614;0;0;2;0;1;0;0;0
Contig2615;0;0;2;0;0;0;0;0
Contig2616;0;0;1;0;1;0;0;0
Contig2618;0;0;2;0;0;0;0;0
Contig2619;0;4;2;0;0;0;0;0
Contig262;2;0;0;0;0;0;0;0
Contig2622;0;0;1;1;0;0;0;0
Contig2623;0;0;2;0;0;0;0;0
Contig2624;0;0;8;0;0;0;0;0
Contig2625;0;0;2;2;1;1;2;0
Contig2626;0;0;2;0;0;0;0;0
Contig2627;0;0;1;0;2;0;1;0
Contig2628;0;0;2;0;0;0;0;0
Contig263;2;2;1;0;0;0;0;1
Contig2630;0;0;1;0;0;0;0;1
Contig2632;0;0;2;0;0;0;0;0
Contig2633;0;0;7;0;0;0;0;0
Contig2635;0;0;1;1;0;0;0;0
Contig2637;0;0;1;0;0;1;0;0
Contig2638;0;0;2;0;0;0;0;0
Contig2639;0;0;2;0;0;0;0;0
Contig264;1;0;0;0;0;2;0;0
Contig2640;0;0;2;0;0;0;0;0
Contig2644;0;0;1;0;0;0;2;0
Contig2648;0;0;2;0;0;0;0;0
Contig2649;0;0;2;0;0;0;0;0
Contig265;3;0;0;0;0;0;0;0
Contig2651;0;0;1;1;0;0;0;0
Contig2655;0;0;3;0;0;0;1;0
Contig2656;0;0;2;0;0;0;0;0
Contig2657;0;0;1;1;0;0;0;0
Contig2658;0;0;1;0;0;1;0;0
Contig2659;0;0;1;0;0;0;2;0
Contig2660;0;0;2;0;0;0;0;0
Contig2663;0;0;1;1;0;0;0;0
Contig2665;0;0;3;1;0;0;0;2
Contig2666;0;0;2;0;0;0;0;1
Contig2667;0;0;2;0;0;0;0;0
Contig2668;1;0;4;0;0;0;1;0
Contig2669;0;0;1;0;1;0;0;1
Contig267;1;0;0;0;1;0;0;0
Contig2670;0;1;4;0;2;0;0;5
Contig2671;0;0;1;1;0;0;1;0
Contig2672;0;0;1;1;1;0;0;0
Contig2673;0;0;3;0;1;0;1;0
Contig2674;0;0;1;0;0;1;0;0
Contig2675;0;0;1;0;1;0;0;0
Contig2676;0;0;4;0;0;0;2;1
Contig2678;0;0;1;0;0;1;0;0
Contig2679;0;0;2;0;0;0;0;1
Contig2680;0;4;9;2;2;1;0;11
Contig2682;0;1;2;0;2;1;5;2
Contig2683;0;0;1;0;0;0;1;0
