"";"domain";"phylum";"class";"order";"family";"genus"
"OTU_538";"Bacteria";"Actinobacteria";"Actinobacteria";"Coriobacteriales";"Coriobacteriaceae";"?"
"OTU_539";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia"
"OTU_540";"Bacteria";"Actinobacteria";"Actinobacteria";"Coriobacteriales";"Coriobacteriaceae";"Collinsella"
"OTU_541";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_542";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_543";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Paraprevotella"
"OTU_544";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_545";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_546";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_547";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_548";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Parabacteroides"
"OTU_549";"Bacteria";"?";"?";"?";"?";"?"
"OTU_550";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_551";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_552";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_553";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_554";"Bacteria";"?";"?";"?";"?";"?"
"OTU_555";"Bacteria";"?";"?";"?";"?";"?"
"OTU_556";"Bacteria";"?";"?";"?";"?";"?"
"OTU_557";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_558";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_559";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_560";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_561";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_562";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Coprococcus"
"OTU_563";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Clostridium IV"
"OTU_564";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_565";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_566";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_567";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_568";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_569";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_570";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_571";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_572";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_573";"Bacteria";"?";"?";"?";"?";"?"
"OTU_574";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_575";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_576";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae 1";"Peptococcus"
"OTU_577";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_578";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_579";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"?"
"OTU_580";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_581";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Dorea"
"OTU_582";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_583";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"?"
"OTU_584";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_585";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_586";"Bacteria";"?";"?";"?";"?";"?"
"OTU_587";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Veillonellaceae";"Megamonas"
"OTU_588";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_589";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_590";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_591";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_592";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_593";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Sutterellaceae";"Parasutterella"
"OTU_594";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_595";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_596";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Roseburia"
"OTU_597";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Barnesiella"
"OTU_598";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_599";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_600";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"?"
"OTU_601";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Clostridium IV"
"OTU_602";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_603";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Coprococcus"
"OTU_604";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_605";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_606";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus"
"OTU_607";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Anaerotruncus"
"OTU_608";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_609";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_610";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_611";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Clostridium XVIII"
"OTU_612";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Butyricimonas"
"OTU_613";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Clostridium XlVa"
"OTU_614";"Bacteria";"?";"?";"?";"?";"?"
"OTU_615";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia"
"OTU_616";"Bacteria";"Actinobacteria";"Actinobacteria";"Coriobacteriales";"Coriobacteriaceae";"Olsenella"
"OTU_617";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Veillonellaceae";"Megasphaera"
"OTU_618";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
